### Footprint positions - created on 2026-08-08T16:01:49 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val         Package                       PosX       PosY       Rot  Side
SSD1      NVMe        QFN-48-1EP_7x7mm_P0.5mm     6.2992    -3.9370    0.0000  top
UCOM1     COM_MODULE  QFN-48-1EP_7x7mm_P0.5mm     1.5748    -1.5748    0.0000  top
U_CHG     BQ25792     QFN-48-1EP_7x7mm_P0.5mm     6.2992    -1.5748    0.0000  top
U_EC      EC          QFN-48-1EP_7x7mm_P0.5mm     3.9370    -3.9370    0.0000  top
U_PD      TPS65994    QFN-48-1EP_7x7mm_P0.5mm     3.9370    -1.5748    0.0000  top
U_TPM     TPM         QFN-48-1EP_7x7mm_P0.5mm     8.6614    -3.9370    0.0000  top
U_WIFI    BE200       QFN-48-1EP_7x7mm_P0.5mm     8.6614    -1.5748    0.0000  top
U_WWAN    RM520N      QFN-48-1EP_7x7mm_P0.5mm     1.5748    -3.9370    0.0000  top
## End
