### Footprint positions - created on 2026-08-09T15:51:00 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val              Package                           PosX       PosY       Rot  Side
JUSB1     TYPE-C-31-M-12   USB_C_Receptacle_Production     1.6535    -1.3780    0.0000  top
TP1       GND              TestPoint_Pad                   1.6535    -1.8110    0.0000  top
TP2       VDD_3V3          TestPoint_Pad                   2.3622    -1.8110    0.0000  top
UPD1      TPS65994ADFBRQ1  VQFN-48-1EP_7x7mm_P0.5mm        2.5984    -1.3780    0.0000  top
## End
